127.0.0.1 - - [11/Jun/2018:22:42:51 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:53 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:53 +0800] "GET /MainTicketSystem/index.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:53 +0800] "GET /MainTicketSystem/js/jquery-1.9.0.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:54 +0800] "GET /MainTicketSystem/js/login.js HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:54 +0800] "GET /MainTicketSystem/css/login.css HTTP/1.1" 200 6295
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:54 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "POST /MainTicketSystem/LoginServlet HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/js/jquery.SuperSlide.2.1.1.js HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/js/city-data.js HTTP/1.1" 200 48340
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/css/hzw-city-picker.css HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/css/mainticket.css HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 9100
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/js/hzw-city-picker.min.js HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/js/laydate.js HTTP/1.1" 200 27378
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:00 +0800] "GET /MainTicketSystem/js/theme/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:02 +0800] "GET /MainTicketSystem/js/theme/default/font/iconfont.woff HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:21 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:24 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:26 +0800] "POST /MainTicketSystem/IdcardServlet HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:46:37 +0800] "POST /MainTicketSystem/BankServlet HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:54:26 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:54:28 +0800] "GET /MainTicketSystem/mainticket.html/ HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:54:32 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:54:42 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:33 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:43 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/css/hzw-city-picker.css HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/js/city-data.js HTTP/1.1" 200 48340
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/js/jquery-1.9.0.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/js/jquery.SuperSlide.2.1.1.js HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/js/hzw-city-picker.min.js HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/js/laydate.js HTTP/1.1" 200 27378
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 9334
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/css/mainticket.css HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:56:56 +0800] "GET /MainTicketSystem/js/theme/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:59:26 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:59:26 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 9917
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:59:30 +0800] "GET /MainTicketSystem/js/theme/default/font/iconfont.woff HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:59:40 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:15 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:15 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 10101
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:24 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 331
